uuid,age,gender,genderdescr,lifespan
gLHPXKsiFw1ubhPBEdtgh,18,Female,NA,74
gVwOTDhU3f2dmKu2KLq3p,18,Other (describe if you wish),demigirl,70
xk2Q7tUmvBspAVv6eW2Tp,19,Female,NA,60
4xk9i-eDHYmUVkt8GebGD,18,Female,NA,100
mg04YA9sue6Rm-vlnNuzt,19,Female,NA,65
RxHSqoq90F-xH1yg1FFio,19,Female,NA,72
KePNfcSS1KoW9BDB8cUTG,Prefer not to say,I'd prefer not to answer,NA,56
vIn0BQjovBuflumOPYRjN,20,Female,NA,76
uPeVmCvaFxlVHWnkcY3V9,18,Male,NA,82
D27jN-7dpYQlUpPtDkvX7,18,Female,NA,80
doNgJc0J-s-1VFahgBHnd,20,Female,NA,57
fD3EN-dA_dD75ETQ_wn5h,20,Female,NA,88
xdxvLKHNeCejuJcyadHY5,18,Female,NA,50
FWppeM6ObDGSPnvdWkGyt,18,Female,NA,44
6QDevT79hhDTH7UM_kcHT,18,Female,NA,60
bV4jiSakgJ4Z19oNtZkwr,20,Female,NA,82
GXyErw6MAbnfplvNHukwr,19,Female,NA,82
uFIdo8nVJp1PMEOkhpaR4,18,Female,NA,88
qVKn2qnKoM364rJrNP41x,19,Female,NA,75
g8vAfMUsz--Vh11TaKzOW,18,Female,NA,52
Afaqadg_ByFAvlbKZGWc6,18,Female,NA,72
C9pcVxV8aOofLDqI94Bl8,18,Female,NA,40
0v0yhCkuf9i3Hz9i2pHuK,18,Female,NA,99
Add-hKrsSvXjw8bLARxr2,18,Female,NA,67
iyN4k3OvCm24JowbzTEDf,18,Female,NA,85
nNUxyZ4H4aGmaN-269Tsr,18,Female,NA,79
plN0pQqssu7XLBIOxXO2J,18,Female,NA,9
KhFrImG-lXg3gj0lqZTDm,18,Female,NA,50
v0Ztg-ilgIrYcojSrylIn,18,Female,NA,88
ea8Z6-3FjxyntZN6772em,19,Female,NA,76
J2ZjI6ZOj3r2QXBv3DEBT,19,Female,NA,84
zJTe03ff3Y02Z0nD1POcp,19,Female,NA,87
WFNSNaMb1_bq9yK6UsBxi,19,Female,NA,12
8H47g5fUBpErONxypRXSK,19,Female,NA,86
a1CHGHUqnw_oJQ68ynwC5,18,Female,NA,4
xbzwB8eoVjqXDI1PcJZ76,18,Female,NA,55
1utpBfHscwTFIZ_b4XEB3,19,Female,NA,88
85StEX_tNg32o8PmnPzEs,19,Female,NA,76
Vl4sxRjvO6zr_NBLmVuGZ,19,Female,NA,83
VZYP6QYHWjqpMu9tXpVDd,18,Female,NA,75
6HDGJ4_iHK8r_4deeXlGS,18,Female,NA,99
BC29UQgZ_uIZoX59PVixT,18,Female,NA,78
jeXgrBN7M1W3c3RSbSOb6,19,Female,NA,76
gGL7oVB-wjBq3OacCeMMa,18,Female,NA,81
mTadV_CSWC1FI1nmehhjg,18,Female,NA,47
fBil3IlHAXGw-kweMOuXB,18,Female,NA,75
c1DbmukooCGTh_bo2yyMI,19,Female,NA,78
VNVAMGDntnj2rj5GvakjH,20,Female,NA,70
_-PNSdMUyQyJ02U3upwv_,18,Female,NA,69
YS6ByZYUuiT78zEomqAXe,19,Female,NA,72
mSMW9iBsHn0T31pwrTimd,19,Female,NA,55
X7PaDQbtZMzpVmEt4luZL,19,Female,NA,78
WVduT2Dn_om6BPk-73kyD,18,Male,NA,62
JarekKLVggyCDxg1Z29SH,18,Female,NA,71
vxzLZuiNtpXmsw4mRiI28,18,Female,NA,80
LulNs6Gb1K98g4dsnGauK,18,Female,NA,60
CEcqTe6xnIpByL7DBjClS,20,Female,NA,32
NUpFsYB9-eZAv6ZFNbI1m,18,Female,NA,62
4AZkCBHTW5zxB9TYtSe6a,18,Female,NA,42
