pno,gender,pori,fors,Half,sdscore,f_r,f_rng,f_nsq,f_rng2,f_tpi,f_runs,f_coupon,f_asc,f_des,f_a,f_rf1,f_rf2,f_rf3,f_rf4,f_rf5,f_rf6,f_rf7,f_rf8,f_rf9,f_rf10,f_fodm9,f_fodm8,f_fodm7,f_fodm6,f_fodm5,f_fodm4,f_fodm3,f_fodm2,f_fodm1,f_fod0,f_fodp1,f_fodp2,f_fodp3,f_fodp4,f_fodp5,f_fodp6,f_fodp7,f_fodp8,f_fodp9,f_rd1,f_rd2,f_rd3,f_rd4,f_rd5,f_rd6,f_rd7,f_rd8,f_rd9,f_rd10,f_rd11,f_rd12,f_rd13,f_rd14,f_rd15,f_rd16,f_rd17,f_rd18,f_rd19,f_rd20,f_rd20pl,f_mnrg,f_medrg,f_morg,f_phi2,f_phi3,f_phi4,f_phi5,f_phi6,s_phi7,sr,srng,snsq,srng2,stpi,sruns,scoupon,sasc,sdes,sa,srf1,srf2,srf3,srf4,srf5,srf6,srf7,srf8,srf9,srf10,sfodm9,sfodm8,sfodm7,sfodm6,sfodm5,sfodm4,sfodm3,sfodm2,sfodm1,sfod0,sfodp1,sfodp2,sfodp3,sfodp4,sfodp5,sfodp6,sfodp7,sfodp8,sfodp9,srd1,srd2,srd3,srd4,srd5,srd6,srd7,srd8,srd9,srd10,srd11,srd12,srd13,srd14,srd15,srd16,srd17,srd18,srd19,srd20,srd20pl,smnrg,smedrg,smorg,sphi2,sphi3,sphi4,sphi5,sphi6,sphi7,in,ir,irng,insq,irng2,itpi,iruns,icoupon,iasc,ides,ia,irf1,irf2,irf3,irf4,irf5,irf6,irf7,irf8,irf9,irf10,ifodm9,ifodm8,ifodm7,ifodm6,ifodm5,ifodm4,ifodm3,ifodm2,ifodm1,ifod0,ifodp1,ifodp2,ifodp3,ifodp4,ifodp5,ifodp6,ifodp7,ifodp8,ifodp9,ird1,ird2,ird3,ird4,ird5,ird6,ird7,ird8,ird9,ird10,ird11,ird12,ird13,ird14,ird15,ird16,ird17,ird18,ird19,ird20,ird20pl,imnrg,imedrg,imorg,iphi2,iphi3,iphi4,iphi5,iphi6,iphi7,H1R,H1RNG,H1NSQ,H1RNG2,H1TPH1,H1RUNS,H1COUPON,H1ASC,H1DES,H1A,H1RF1,H1RF2,H1RF3,H1RF4,H1RF5,H1RF6,H1RF7,H1RF8,H1RF9,H1RF10,H1FODM9,H1FODM8,H1FODM7,H1FODM6,H1FODM5,H1FODM4,H1FODM3,H1FODM2,H1FODM1,H1FOD0,H1FODP1,H1FODP2,H1FODP3,H1FODP4,H1FODP5,H1FODP6,H1FODP7,H1FODP8,H1FODP9,H1RD1,H1RD2,H1RD3,H1RD4,H1RD5,H1RD6,H1RD7,H1RD8,H1RD9,H1RD10,H1RD11,H1RD12,H1RD13,H1RD14,H1RD15,H1RD16,H1RD17,H1RD18,H1RD19,H1RD20,H1RD20PL,H1MNRG,H1MEDRG,H1MORG,H1PHH12,H1PHH13,H1PHH14,H1PHH15,H1PHH16,H1PHH17,solorep
   36.00,2,1,2,1,16,.6044,.3449,47.4747,.2649,73.4694,1.3036,16.33,14,20,34,8,8,12,13,11,8,10,9,11,10,0,0,0,3,2,8,9,14,20,0,14,13,3,4,1,3,2,3,1,0,0,2,2,9,7,8,13,10,13,2,4,3,4,5,0,2,2,1,1,2,9.81,9,-8,-3.699018,-4.101686,-3.954048,-4.430239,-2.40774,-2.869687,.6589,.2513,37.3737,.288,73.4694,1.2692,14,12,19,31,13,9,11,10,11,7,8,9,10,12,1,2,4,1,4,7,4,10,19,0,12,14,4,4,6,2,3,0,3,0,0,1,8,3,6,12,8,12,8,9,5,2,5,1,4,0,1,1,0,4,9.91,9,-7,-3.706356,-4.125548,-4.362324,-2.445673,-4.027176,-3.559743,100,1.779,.2604,40.404,.2545,88.7755,1.4048,21.25,18,4,22,13,13,9,7,11,12,11,11,9,4,0,1,5,3,8,9,7,5,4,0,18,11,8,11,3,3,2,1,1,0,4,14,5,13,8,4,6,3,2,4,4,1,4,0,3,1,3,3,1,7,9.58,7,3,-3.860784,-2.915557,.5754,-2.100814,.683059,-.702737,.6588,.2266,33.3333,.2573,101.0204,.6364,20,6,16,22,8,10,13,12,7,10,9,9,11,11,1,3,3,3,3,6,9,11,16,0,6,10,7,5,5,4,5,2,1,0,0,8,2,6,4,13,5,16,6,4,10,5,3,0,2,2,1,0,1,2,9.58,9,9,-3.706358,-4.125237,-1.748699,-3.730725,-2.810848,-4.1546,0
   37.00,2,1,2,2,23,.6984,.2373,35.3535,.2455,101.0204,.8511,16.33,12,14,26,10,10,10,13,7,8,9,12,9,12,5,0,4,3,6,3,6,6,14,0,12,12,9,5,5,4,4,1,1,0,2,3,4,5,5,9,10,10,9,5,8,8,4,2,1,1,0,0,0,4,9.8,9,-8,-3.713705,-3.419622,-3.394059,-3.407255,-3.306181,-3.673093,.7804,.2622,39.3939,.2525,99.4898,.88,15.17,11,11,22,10,13,10,11,6,10,12,8,10,10,3,1,1,4,3,9,7,10,11,0,11,12,9,5,3,7,3,0,1,0,0,0,6,5,8,8,6,12,6,16,7,4,6,1,0,1,1,1,1,1,9.74,9.5,11,-3.721057,-4.122801,-4.657382,-3.197986,-3.700923,-2.910404,100,1.465,.3001,42.4242,.2419,105.6122,.76,40,8,13,21,9,9,12,9,4,10,13,12,11,11,6,0,3,3,5,6,10,4,13,0,8,9,7,6,7,7,3,3,0,0,2,8,7,8,11,7,7,10,9,1,2,2,2,1,1,2,6,1,1,2,8.8,8,6,-3.809281,-3.51641,-1.71213,-2.037405,-.894592,-.083427,.4691,.2866,41.4141,.2353,94.898,.9583,15,11,11,22,13,9,10,10,10,8,10,12,8,10,3,3,3,1,7,5,6,7,11,2,11,13,5,9,5,4,2,2,1,2,0,5,2,7,8,7,9,12,3,9,6,2,1,5,2,3,2,3,0,2,9.74,9,9,-2.962222,-3.962062,-2.568013,-3.79334,-2.312286,-2.340073,0
   38.00,1,2,1,1,15,1.8124,.352,47.4747,.2951,87.2449,1.4146,14.6,15,14,29,9,9,15,5,12,10,7,10,14,9,5,2,1,6,1,2,4,6,14,0,15,19,12,5,5,1,1,1,0,0,0,2,4,12,10,6,11,7,10,3,6,2,3,4,2,2,3,1,1,1,9.44,8.5,5,-3.897593,-4.362359,-4.356284,-4.215477,-1.744549,-1.844604,1.8813,.241,37.3737,.256,107.1429,.7843,18.2,6,8,14,5,8,16,10,13,11,10,9,11,7,1,0,5,4,7,7,9,8,8,2,6,9,10,10,4,6,2,0,2,1,0,5,5,7,8,9,9,12,4,6,4,5,1,2,3,2,0,2,0,5,9.72,9,9,-3.555696,-4.274077,-3.107444,-3.358219,-2.93824,-2.758687,100,2.3113,.3057,45.4545,.2244,104.0816,.8511,21.5,4,7,11,13,4,14,9,11,10,7,14,11,7,2,3,6,4,5,7,5,7,7,0,4,10,13,10,11,4,1,1,0,0,4,11,9,9,5,6,2,10,5,2,5,2,2,0,3,3,4,1,0,7,9.7,8,3,-3.956523,-2.983501,-.687525,-1.046195,-.155697,-2.139985,.5822,.2941,43.4343,.2672,96.4286,1.0444,19.6,15,9,24,11,14,9,9,10,8,11,8,10,10,3,0,5,7,6,4,7,2,9,1,15,12,7,10,1,5,0,5,1,1,1,1,6,7,12,6,8,16,3,4,5,5,3,2,1,1,0,2,2,4,9.82,9,9,-3.342355,-3.686151,-4.094413,-2.785335,-2.524632,-1.1395,1
   39.00,2,2,1,2,15,1.2796,.2639,40.404,.2861,79.5918,1.8571,24,21,11,32,9,15,6,9,11,11,8,9,13,9,3,3,3,3,3,6,4,6,11,0,21,9,12,7,2,3,1,1,2,0,0,6,8,8,18,8,5,5,3,5,4,4,3,2,1,1,2,1,0,6,9.67,7,6,-3.816636,-4.282939,-2.692867,-2.064948,-1.845838,1.752522,1.4328,.2754,41.4141,.2913,81.1225,1.4222,19.25,13,10,23,7,13,7,10,11,12,10,6,10,14,1,4,3,6,2,2,8,9,10,0,13,11,11,14,1,0,3,0,2,0,0,1,7,12,8,8,12,9,3,10,6,2,2,1,3,0,1,0,0,5,9.46,8,-5,-3.831347,-4.301148,-4.559167,-3.165036,-1.592436,-2.490557,100,4.9399,.3217,46.4646,.2715,90.3061,1.0204,31,14,12,26,7,22,6,10,11,7,12,3,9,13,1,3,2,6,8,2,9,5,12,1,14,7,6,4,10,6,1,2,1,1,4,14,8,6,11,3,1,9,2,7,2,2,2,3,1,2,3,1,1,7,9.5,7,3,-4.132124,-3.622366,-.313554,-1.798932,-2.178126,.308208,.2966,.2383,35.3535,.2628,96.4286,1.5909,16.8,20,5,25,9,12,11,10,12,9,9,9,9,10,2,0,7,3,4,8,6,8,5,1,20,9,7,5,4,4,4,2,1,1,0,2,3,12,10,8,9,5,8,8,4,5,2,3,0,1,3,0,0,6,9.78,8.5,5,-3.290927,-3.984646,-3.728578,-3.775171,-.76209,-1.13958,0
   40.00,2,1,2,1,7,.3884,.2655,41.4141,.2478,97.9592,.8571,14.33,13,8,21,12,8,9,12,11,9,11,9,9,10,2,4,0,3,4,10,8,10,8,0,13,8,7,7,6,5,1,1,3,0,0,2,3,10,5,12,11,7,6,7,6,5,2,3,6,2,1,0,0,2,9.72,9,7,-3.662281,-4.077524,-3.868209,-4.049102,-1.979774,-3.723105,.7681,.3011,43.4343,.2241,96.4286,1.2609,17.8,13,12,25,10,8,10,12,7,11,9,14,10,9,2,2,4,2,1,9,5,9,12,0,13,18,5,6,6,2,3,0,1,0,0,1,3,7,10,13,10,11,8,5,6,1,3,0,3,2,2,1,2,2,9.71,9,7,-3.728405,-4.158822,-4.341599,-4.239742,-3.333631,-2.289176,100,.6167,.2701,39.3939,.2327,94.898,1.2927,19.6,18,5,23,11,9,11,10,11,9,6,11,12,10,4,1,1,6,8,5,4,6,5,0,18,13,9,8,4,5,2,0,1,0,1,2,8,9,15,11,7,5,6,1,1,2,2,6,4,0,2,1,0,7,9.67,7,6,-3.691666,-3.751181,-3.855402,-2.217784,-1.624966,.896107,.4912,.2173,33.3333,.2247,102.551,.6415,16,12,10,22,11,9,12,9,10,9,10,11,12,7,0,1,5,2,8,8,9,9,10,1,12,4,5,6,9,3,4,4,0,1,0,3,1,10,5,13,4,13,6,7,9,4,1,2,1,2,0,2,1,5,9.89,9,-7,-3.320307,-4.038851,-3.437263,-4.530724,-1.990637,-3.581424,0
41A,2,1,2,2,19,.4247,.2459,37.3737,.2414,99.4898,.7273,15.17,7,20,27,9,9,9,8,10,11,9,11,13,11,0,2,5,6,7,5,5,5,20,0,7,6,6,7,6,5,5,0,3,0,1,1,2,5,10,10,4,15,8,12,2,6,5,1,2,2,1,0,0,3,9.82,9,9,-3.669631,-3.717305,-4.213955,-4.524074,-4.124925,-2.894904,.1305,.2639,38.3838,.1955,108.6735,.5741,12.13,8,6,14,9,9,11,9,11,10,10,11,10,10,0,2,3,3,5,12,8,15,6,0,8,6,6,8,5,4,5,2,2,0,1,0,0,4,6,12,11,11,8,14,10,3,2,1,2,3,0,0,1,1,9.89,9.5,11,-3.618233,-3.650594,-4.395069,-5.049317,-4.397959,-4.276231,100,.9143,.2343,36.3636,.2178,94.898,1.0196,16.75,12,13,25,11,9,12,9,10,7,14,11,10,7,2,3,1,4,5,4,6,12,13,0,12,13,4,6,5,4,4,0,2,0,0,7,3,10,11,10,5,7,11,4,4,5,0,5,2,1,1,3,0,1,9.07,8,-6,-3.750453,-4.1599,-2.158764,-3.58494,-1.36059,-1.073394,.417,.2497,37.3737,.2377,104.0816,.7692,16.17,7,7,14,11,8,11,11,11,7,10,11,10,10,2,2,3,9,5,4,9,9,7,1,7,8,10,6,4,1,7,4,2,1,0,1,1,9,3,16,7,12,11,5,7,2,2,2,2,3,1,2,1,2,9.87,9,7,-3.305625,-4.003271,-4.105479,-4.685365,-2.445828,-4.610395,0
   42.00,2,2,1,1,14,.9283,.2447,37.3737,.2822,91.8367,.96,20.25,4,9,13,10,9,9,14,6,9,11,9,12,11,1,5,0,6,5,9,5,9,9,0,4,10,11,10,9,4,2,1,0,0,0,5,8,10,8,6,9,6,8,7,4,6,3,1,1,3,0,0,0,5,9.6,8,5,-3.750457,-4.195139,-2.970991,-1.916411,-1.014436,-1.768512,1.2208,.2692,40.404,.2298,104.0816,.75,16,4,6,10,13,13,8,7,11,11,12,6,9,10,2,4,5,1,6,11,10,3,6,0,4,12,10,7,5,7,4,1,2,0,1,2,5,7,12,8,10,8,6,5,2,5,4,1,2,1,3,3,2,3,9.81,8.5,6,-3.794567,-3.883651,-4.004514,-3.443289,-3.097273,-1.577294,100,2.1669,.2953,42.4242,.2631,114.7959,.5714,20,9,3,12,11,17,10,6,8,10,5,12,11,10,1,3,11,3,6,7,12,2,3,0,9,6,2,9,7,10,3,4,2,0,5,6,11,15,7,4,5,8,5,1,4,2,4,4,1,0,2,2,0,4,9.08,7,5,-3.963891,-2.652554,-2.348276,-.365944,1.809112,-.68884,.6741,.2579,36.3636,.2229,116.3265,.4906,19.2,1,6,7,11,14,8,10,9,10,8,11,8,11,1,4,2,8,4,7,5,16,6,0,1,8,10,7,9,5,4,1,2,0,1,3,4,9,6,15,7,4,11,5,2,4,4,3,1,4,1,1,1,4,9.82,8.5,7,-3.713714,-3.780972,-3.528359,-3.677267,-2.078949,-3.016523,0
   43.00,2,2,2,2,13,.8608,.2426,36.3636,.259,97.9592,.72,19.5,5,5,10,12,9,11,12,8,7,11,12,7,11,1,1,6,5,4,11,4,13,5,0,5,8,12,6,7,5,6,1,0,0,4,5,4,12,11,9,9,3,3,2,5,5,1,4,2,1,0,4,1,5,9.47,7.5,5,-3.735751,-2.705037,-2.560479,-3.24346,-.719727,-.384167,.6749,.3096,43.4343,.2221,104.0816,.6842,16.67,4,3,7,12,11,12,11,8,9,11,7,8,11,0,1,2,6,9,11,13,10,3,1,4,10,4,3,3,7,3,7,3,1,4,0,5,7,6,7,8,10,9,6,6,5,3,2,2,4,3,0,0,2,9.73,9,9,-3.349705,-2.643415,-4.178807,-3.112387,-2.323225,-2.595947,100,1.3871,.2592,40.404,.2585,96.4286,.9388,21.67,10,8,18,9,7,9,13,11,14,10,7,7,13,0,2,2,3,6,8,9,10,8,1,10,12,11,4,5,8,0,0,1,1,6,9,5,15,5,4,7,5,8,1,4,4,4,3,4,0,1,0,0,4,8.82,7.5,5,-3.474711,-2.141481,-.894486,-2.559347,1.564344,-1.010679,.6589,.2775,41.4141,.2977,94.898,1.125,18,5,7,12,11,9,11,9,10,13,7,8,10,12,2,2,6,2,2,9,11,7,7,0,5,11,13,9,7,2,2,2,1,0,0,2,5,7,7,12,7,8,13,9,6,4,1,2,1,2,0,0,0,4,9.46,9,10,-3.706356,-4.13941,-3.987417,-3.295288,-2.90789,-2.949714,1
   47.00,2,1,1,1,19,.7507,.2556,38.3838,.2668,94.898,.88,21.5,8,14,22,9,11,12,8,10,13,8,7,11,11,4,2,3,1,5,5,7,8,14,1,8,12,12,6,2,3,2,4,1,0,0,2,7,9,14,9,4,7,7,7,5,4,1,5,1,1,1,2,1,3,9.57,8.5,6,-3.721059,-4.11726,-3.91787,-2.655348,-1.853234,.293811,.9157,.2567,38.3838,.2305,104.0816,.7358,17.2,4,8,12,11,8,12,10,6,10,8,11,11,13,2,2,4,5,9,10,4,9,8,0,4,6,8,10,2,7,1,5,4,0,0,4,8,5,9,10,9,6,5,9,6,3,4,3,0,1,0,3,0,5,9.84,8.5,7,-3.743109,-4.195623,-3.321337,-2.102146,-2.972454,-2.02252,100,.8821,.2373,36.3636,.2037,102.551,.875,15.6,11,10,21,8,12,10,8,11,8,12,11,13,7,1,3,5,3,6,5,5,9,10,1,11,9,14,1,6,6,3,1,1,1,1,7,10,7,7,6,4,8,9,4,2,4,4,2,1,2,3,3,0,5,9.62,9,4,-3.386453,-3.777455,-2.039266,-.797392,-1.513769,-1.136649,.5126,.234,34.3434,.2212,104.0816,.8043,18,16,3,19,9,12,11,10,9,8,13,10,8,10,1,5,4,5,3,5,9,9,3,1,16,9,5,7,8,4,2,1,3,1,1,5,2,10,4,7,5,17,3,5,5,7,7,2,0,2,2,0,3,2,9.8,9,9,-3.327653,-3.68111,-2.559109,-3.87399,-1.340951,-3.38125,0
   48.00,1,1,1,2,14,1.5783,.2939,41.4141,.2812,81.1225,1.4889,18.8,14,9,23,9,8,11,6,11,9,17,10,8,11,0,1,5,6,1,5,6,12,9,0,14,17,11,6,1,2,1,1,2,0,0,2,9,9,8,10,7,8,8,7,2,2,2,4,2,3,0,1,0,6,9.81,8.5,7,-3.882873,-4.38445,-4.331915,-2.650578,-2.227026,-2.565723,1.108,.2807,38.3838,.2885,87.2449,1.2245,15,5,4,9,12,11,10,14,8,9,12,6,10,8,1,3,4,1,2,9,12,13,4,0,5,19,7,7,4,3,1,3,2,0,0,4,9,7,7,6,11,7,9,8,4,3,4,1,3,1,2,0,2,2,9.4,9,8,-3.77986,-4.22227,-3.375615,-1.718155,-2.131787,-2.404835,100,1.5408,.2506,37.3737,.2491,97.9592,.9804,24,15,10,25,10,14,13,8,9,10,13,10,5,8,1,2,5,1,5,5,10,10,10,1,15,8,6,3,10,2,2,2,2,1,2,7,6,6,12,12,5,6,11,5,1,2,2,2,1,2,0,1,1,5,9.42,7,-6,-3.489429,-3.5287,-2.011268,-2.32071,-2.541366,-.111106,1.4193,.2817,41.4141,.2675,94.898,.96,17.4,14,13,27,8,14,12,6,11,10,11,12,10,6,0,3,2,3,4,7,8,8,13,2,14,13,7,3,1,6,5,1,0,1,1,4,2,11,9,8,7,11,6,2,8,4,3,1,1,2,3,0,5,1,9.64,9,-5,-3.467356,-3.87535,-3.247068,-4.277016,-1.41035,-1.683789,0
   50.00,1,2,2,1,21,1.2547,.2773,40.404,.2773,93.3673,1.5682,16.5,11,10,21,9,10,10,12,12,5,12,11,7,12,6,2,3,2,4,4,6,7,10,0,11,14,10,7,5,6,1,2,0,0,0,4,6,6,5,9,14,7,12,4,7,5,1,1,3,1,1,1,0,3,9.6,9,8,-3.787216,-4.23268,-3.368907,-2.911133,-3.133576,-3.602569,.8634,.3041,42.4242,.2389,101.0204,.7451,19.8,4,9,13,6,10,12,10,13,8,10,10,9,12,1,5,4,3,4,6,6,11,9,2,4,16,8,3,3,4,11,0,0,1,1,2,6,5,11,12,8,7,4,5,9,5,3,0,3,1,0,1,0,6,9.84,8,7,-3.379096,-3.737937,-3.716652,-2.828534,-3.181276,-1.504126,100,2.21,.2666,40.404,.2136,93.3673,.6792,24.67,5,13,18,11,9,15,12,15,6,8,7,6,11,4,2,3,1,5,3,8,11,13,3,5,14,7,6,6,3,2,1,3,3,5,9,0,8,8,5,9,8,7,8,2,5,1,0,3,2,0,0,1,6,9.27,8,-3,-2.897107,-2.436523,-.99171,-4.435609,-1.645806,-1.123464,.7176,.2455,36.3636,.2814,102.551,.7843,15.67,14,12,26,9,8,11,15,9,9,9,10,11,9,1,1,3,6,3,5,8,11,12,1,14,8,7,6,5,3,1,3,2,1,1,6,4,9,7,9,7,10,4,5,4,4,1,3,4,2,1,5,0,3,9.66,9,9,-3.371746,-3.794372,-2.426629,-3.232687,-2.034911,-2.36913,1
   51.00,2,2,2,2,8,1.4763,.3193,45.4545,.26,93.3673,.7692,20,11,12,23,7,13,7,11,14,10,6,12,9,11,1,2,4,2,4,7,8,10,12,1,11,7,9,8,6,4,1,3,0,1,1,5,8,6,10,6,11,9,4,3,6,0,3,3,3,1,2,3,0,5,9.91,8,8,-3.48207,-4.032585,-3.092913,-2.095839,-2.776897,-1.251879,.6318,.2357,35.3535,.1971,105.6122,.6667,28.33,10,2,12,9,8,11,13,9,10,10,8,13,9,3,2,3,3,7,8,8,8,2,4,10,8,8,9,4,8,3,2,0,3,1,2,7,4,13,6,13,5,7,5,6,1,3,2,1,2,1,3,1,4,9.79,8,-6,-2.632086,-3.609926,-3.593914,-2.160961,-3.291652,-.338699,100,.943,.2484,38.3838,.2394,117.8571,.4151,29.67,2,8,10,8,10,8,12,7,14,12,9,11,9,3,2,1,9,5,7,8,7,8,2,2,8,8,6,13,6,4,1,0,2,7,9,9,9,9,11,4,3,2,1,5,3,0,1,0,1,2,1,1,10,9.06,6.5,7,-3.04308,-1.550839,-.782051,-.734727,.707689,-.12383,.8871,.2615,38.3838,.2346,97.9592,.9796,18.4,16,14,30,10,11,10,10,13,11,11,6,7,11,3,3,1,1,4,7,7,6,14,2,16,9,10,5,5,3,2,0,2,2,3,4,7,9,10,3,2,3,7,8,8,5,5,3,0,1,3,1,2,4,9.71,10,6,-3.021019,-2.989845,-2.839078,-2.005094,-1.176942,-.700798,4
   52.00,2,1,2,1,12,.1789,.2841,41.4141,.2503,104.0816,.7037,12.57,7,14,21,11,11,10,10,8,10,9,10,11,10,1,4,4,4,1,6,10,9,14,0,7,11,9,4,3,3,3,5,2,0,1,0,4,5,10,12,7,9,7,8,6,6,4,3,4,1,2,0,0,1,9.7,9,7,-3.625575,-3.660759,-4.435808,-3.657957,-3.62333,-2.313607,.3933,.276,41.4141,.2272,108.6735,.5882,17.8,7,8,15,12,8,10,9,10,11,10,12,10,8,0,7,1,4,4,9,10,7,8,0,7,12,5,6,5,9,2,4,0,0,2,1,5,12,8,9,4,7,12,3,8,3,1,6,2,1,1,2,0,3,9.58,9,-5,-3.662286,-3.353827,-4.030856,-3.203552,-.751478,-1.533464,100,1.1016,.242,36.3636,.2055,110.2041,.5185,28.33,4,16,20,13,12,10,12,6,11,8,11,7,10,4,1,2,10,4,2,10,3,16,1,4,12,6,5,7,2,5,4,2,1,3,6,8,9,11,10,7,6,6,3,3,0,2,1,1,2,0,3,2,6,9.06,7,6,-3.415861,-3.10012,-2.275166,-1.526661,-.484185,.06359,1.2183,.289,43.4343,.2581,107.1429,.6182,19.4,6,17,23,9,11,11,11,8,11,5,14,11,9,0,4,4,3,8,4,5,8,17,1,6,10,5,10,2,5,5,1,2,1,0,5,1,7,4,7,9,11,11,9,7,3,4,4,2,1,0,1,2,1,9.99,9.5,-9,-3.430569,-4.154678,-2.87367,-4.523055,-2.878503,-3.7075,0
   53.00,2,1,2,2,16,.9069,.2261,35.3535,.2402,91.8367,1.102,16.67,12,13,25,9,9,13,10,11,12,6,10,12,8,1,4,3,0,5,8,8,7,13,0,12,10,7,7,7,4,2,2,0,0,0,1,5,3,3,16,8,8,18,7,4,3,2,1,4,3,0,2,0,2,9.92,10,10,-3.743101,-4.20317,-4.407588,-3.533743,-4.530079,-5.334617,.4803,.2863,42.4242,.2113,94.898,.9333,13.86,10,8,18,9,11,11,9,9,12,8,12,11,8,3,3,6,0,7,2,7,9,8,0,10,10,13,9,5,5,1,2,0,0,1,3,7,5,9,8,7,10,4,8,5,6,2,5,1,1,1,3,2,2,9.8,9,9,-3.676977,-3.733448,-3.403858,-2.329774,-2.96951,-1.874447,100,2.5134,.2909,43.4343,.2669,79.5918,1.16,27.33,12,18,30,5,10,11,10,12,11,5,16,13,7,0,1,2,5,5,5,7,7,18,0,12,9,13,5,6,4,1,0,0,0,4,6,9,7,12,7,6,2,8,9,0,4,5,2,1,2,1,0,1,4,9.36,7.5,6,-4.000741,-3.058117,-2.563583,-1.694332,-2.158586,.04148,.2619,.2781,40.404,.2358,101.0204,.766,15.67,13,8,21,9,10,10,11,10,11,9,12,10,8,0,5,3,2,4,7,9,9,8,0,13,9,7,10,7,4,1,2,0,0,0,4,6,8,4,13,5,9,5,10,6,1,3,7,2,1,0,1,1,4,9.82,9,7,-3.640258,-4.031956,-3.082364,-2.544651,-1.834704,-3.281737,0
